_id,t,o
ABW_ZWE,0.000,0.779
AFG_ABW,0.000,0.917
AFG_AGO,0.000,1.345
AFG_AIA,0.000,n.a.
AFG_ALB,0.000,0.857
AFG_AND,0.000,0.918
AFG_ANT,0.000,n.a.
AFG_ARE,0.000,0.768
AFG_ARG,0.000,1.627
AFG_ARM,0.000,1.068
AFG_ASM,0.000,0.882
AFG_ATG,0.000,0.899
AFG_AUS,0.000,1.186
AFG_AUT,0.000,0.965
AFG_AZE,0.000,1.219
AFG_BDI,0.000,1.195
AFG_BEL,0.000,0.905
AFG_BEN,0.000,0.971
AFG_BFA,0.000,1.291
AFG_BGD,0.000,1.107
AFG_BGR,0.000,0.958
AFG_BHR,0.000,0.656
AFG_BHS,0.000,0.917
AFG_BIH,0.000,0.858
AFG_BLR,0.000,1.108
AFG_BLZ,0.000,0.988
AFG_BMU,0.000,0.887
AFG_BOL,0.000,1.941
AFG_BRA,0.000,1.431
AFG_BRB,0.000,0.899
AFG_BRN,0.000,0.755
AFG_BTN,0.000,1.107
AFG_BWA,0.000,1.174
AFG_CAF,0.000,1.402
AFG_CAN,0.000,1.387
AFG_CHE,0.000,0.990
AFG_CHL,0.000,1.116
AFG_CHN,0.000,1.433
AFG_CIV,0.000,1.039
AFG_CMR,0.000,1.060
AFG_COD,0.000,0.974
AFG_COG,0.000,1.086
AFG_COK,0.000,n.a.
AFG_COL,0.000,1.345
AFG_COM,0.000,0.721
AFG_CPV,0.000,0.844
AFG_CRI,0.000,1.025
AFG_CUB,0.000,0.982
AFG_CYM,0.000,0.930
AFG_CYP,0.000,0.748
AFG_CZE,0.000,1.121
AFG_DEU,0.000,1.049
AFG_DJI,0.000,0.793
AFG_DMA,0.000,0.900
AFG_DNK,0.000,0.884
AFG_DOM,0.000,0.943
AFG_DZA,0.000,1.025
AFG_ECU,0.000,1.146
AFG_EGY,0.000,0.881
AFG_ERI,0.000,0.926
AFG_ESP,0.000,1.091
AFG_EST,0.000,0.905
AFG_ETH,0.000,1.068
AFG_FIN,0.000,0.938
AFG_FJI,0.000,0.880
AFG_FLK,0.000,n.a.
AFG_FRA,0.000,1.105
AFG_FRO,0.000,0.845
AFG_FSM,0.000,0.803
AFG_GAB,0.000,0.949
AFG_GBR,0.000,0.928
AFG_GEO,0.000,0.960
AFG_GHA,0.000,0.960
AFG_GIB,0.000,0.787
AFG_GIN,0.000,0.925
AFG_GLP,0.000,n.a.
AFG_GMB,0.000,0.848
AFG_GNB,0.000,0.886
AFG_GNQ,0.000,0.901
AFG_GRC,0.000,0.806
AFG_GRD,0.000,0.903
AFG_GRL,0.000,0.921
AFG_GTM,0.000,1.085
AFG_GUF,0.000,n.a.
AFG_GUM,0.000,0.803
AFG_GUY,0.000,0.979
AFG_HKG,0.000,0.774
AFG_HND,0.000,1.088
AFG_HRV,0.000,0.887
AFG_HTI,0.000,0.936
AFG_HUN,0.000,1.002
AFG_IDN,0.000,0.841
AFG_IND,0.000,1.208
AFG_IRL,0.000,0.871
AFG_IRN,0.000,1.277
AFG_IRQ,0.000,0.957
AFG_ISL,0.000,0.914
AFG_ISR,0.000,0.762
AFG_ITA,0.000,0.834
AFG_JAM,0.000,0.946
AFG_JOR,0.000,0.874
AFG_JPN,0.000,1.017
AFG_KAZ,0.000,2.717
AFG_KEN,0.000,0.965
AFG_KGZ,0.000,2.370
AFG_KHM,0.000,0.848
AFG_KIR,0.000,0.902
AFG_KNA,0.000,0.900
AFG_KOR,0.000,1.000
AFG_KWT,0.000,0.713
AFG_LAO,0.000,1.041
AFG_LBN,0.000,0.765
AFG_LBR,0.000,1.139
AFG_LBY,0.000,0.904
AFG_LCA,0.000,0.901
AFG_LIE,0.000,0.994
AFG_LKA,0.000,0.746
AFG_LSO,0.000,0.988
AFG_LTU,0.000,0.903
AFG_LUX,0.000,0.946
AFG_LVA,0.000,0.963
AFG_MAC,0.000,0.774
AFG_MAR,0.000,0.955
AFG_MCO,0.000,0.763
AFG_MDA,0.000,0.955
AFG_MDG,0.000,0.912
AFG_MDV,0.000,0.674
AFG_MEX,0.000,1.268
AFG_MHL,0.000,0.845
AFG_MKD,0.000,0.888
AFG_MLI,0.000,1.249
AFG_MLT,0.000,0.753
AFG_MMR,0.000,1.261
AFG_MNE,0.000,0.781
AFG_MNG,0.000,1.872
AFG_MNP,0.000,0.806
AFG_MOZ,0.000,0.887
AFG_MRT,0.000,1.099
AFG_MSR,0.000,n.a.
AFG_MTQ,0.000,n.a.
